File/Directory 	Purpose
app/ 	Core application (app) code, including models, views, controllers, and helpers
app/assets 	Applications assets such as Cascading Style Sheets (CSS) and images
bin/ 	Binary executable files
config/ 	Application configuration
db/ 	Database files
doc/ 	Documentation for the application
lib/ 	Library modules
log/ 	Application log files
public/ 	Data accessible to the public (e.g., via web browsers), such as error pages
bin/rails 	A program for generating code, opening console sessions, or starting a local server
test/ 	Application tests
tmp/ 	Temporary files
README.md 	A brief description of the application
Gemfile 	Gem requirements for this app
Gemfile.lock 	A list of gems used to ensure that all copies of the app use the same gem versions
config.ru 	A configuration file for Rack middleware
.gitignore 	Patterns for files that should be ignored by Git
